Staff Key,faculty,school,broad_category,broad_contract_type,contract_type,contract_category,grade,gender,calc_fte,start_date,reporting_date
1100526 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,30/10/2017 00:00,31/05/2023 00:00
1110538 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,05/11/2018 00:00,31/05/2023 00:00
1010185 5,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,0.9,09/06/1997 00:00,31/05/2023 00:00
1100564 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,M,1,16/03/2021 00:00,31/05/2023 00:00
1120575 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,F,1,17/10/2022 00:00,31/05/2023 00:00
1120547 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,0.8,01/02/1996 00:00,31/05/2023 00:00
1100440 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/11/2008 00:00,31/05/2023 00:00
1080512 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,13/09/2016 00:00,31/05/2023 00:00
1100519 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,24/04/2017 00:00,31/05/2023 00:00
1110536 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/09/2018 00:00,31/05/2023 00:00
1110537 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,03/10/2018 00:00,31/05/2023 00:00
1120544 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/06/2019 00:00,31/05/2023 00:00
1100548 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,26/08/2019 00:00,31/05/2023 00:00
1100555 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,01/03/2020 00:00,31/05/2023 00:00
1120571 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/02/2022 00:00,31/05/2023 00:00
1120576 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/11/2022 00:00,31/05/2023 00:00
1010410 9,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,01/03/2006 00:00,31/05/2023 00:00
1120580 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,31/05/2023 00:00,31/05/2023 00:00
1110539 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,M,1,26/11/2018 00:00,31/05/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.2,01/07/1998 00:00,30/06/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.8,01/07/1998 00:00,30/06/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.4,01/08/2005 00:00,30/06/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.6,01/08/2005 00:00,30/06/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.2,01/07/2013 00:00,30/06/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.8,01/07/2013 00:00,30/06/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.3,27/03/2000 00:00,30/06/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.7,27/03/2000 00:00,30/06/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.3,01/07/2013 00:00,30/06/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.7,01/07/2013 00:00,30/06/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.3,26/03/1989 00:00,30/06/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.7,26/03/1989 00:00,30/06/2023 00:00
1050572 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Fixed,Fixed-term,Acad-Rel Administrative,Grade 6,F,1,09/05/2022 00:00,30/06/2023 00:00
1120539 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm - acting up,Acad-Rel Administrative,Grade 6,M,1,26/11/2018 00:00,30/06/2023 00:00
1090424 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm - acting up,Acad-Rel Administrative,Grade 7,F,1,20/08/2007 00:00,30/06/2023 00:00
1100527 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 6,F,1,08/01/2018 00:00,30/06/2023 00:00
1100528 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 6,F,1,08/01/2018 00:00,30/06/2023 00:00
1100547 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 7,F,1,22/07/2019 00:00,30/06/2023 00:00
1100576 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.3,16/01/2023 00:00,30/06/2023 00:00
1100576 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.7,16/01/2023 00:00,30/06/2023 00:00
1090871or,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Pro-Vice-Chancellor,F,1,01/01/2003 00:00,30/06/2023 00:00
1090129 B,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Director B,F,1,26/08/1996 00:00,30/06/2023 00:00
1120502 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,25/11/1996 00:00,30/06/2023 00:00
1080881 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,09/12/2002 00:00,30/06/2023 00:00
1080452 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,18/01/2010 00:00,30/06/2023 00:00
1100526 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,30/10/2017 00:00,30/06/2023 00:00
1100532 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,21/05/2018 00:00,30/06/2023 00:00
1110538 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,05/11/2018 00:00,30/06/2023 00:00
1010185 5,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,0.9,09/06/1997 00:00,30/06/2023 00:00
1100564 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,M,1,16/03/2021 00:00,30/06/2023 00:00
1120575 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,F,1,17/10/2022 00:00,30/06/2023 00:00
1120547 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,0.8,01/02/1996 00:00,30/06/2023 00:00
1100440 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/11/2008 00:00,30/06/2023 00:00
1080512 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,13/09/2016 00:00,30/06/2023 00:00
1100519 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,24/04/2017 00:00,30/06/2023 00:00
1110536 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/09/2018 00:00,30/06/2023 00:00
1110537 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,03/10/2018 00:00,30/06/2023 00:00
1120544 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/06/2019 00:00,30/06/2023 00:00
1100548 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,26/08/2019 00:00,30/06/2023 00:00
1100555 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,01/03/2020 00:00,30/06/2023 00:00
1120571 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/02/2022 00:00,30/06/2023 00:00
1120576 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/11/2022 00:00,30/06/2023 00:00
1010410 9,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,01/03/2006 00:00,30/06/2023 00:00
1130580 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Fixed,Fixed-term,Clerical,Grade 4,F,1,01/06/2023 00:00,30/06/2023 00:00
1120580 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,31/05/2023 00:00,30/06/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.2,01/07/1998 00:00,31/07/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.8,01/07/1998 00:00,31/07/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.4,01/08/2005 00:00,31/07/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.6,01/08/2005 00:00,31/07/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.2,01/07/2013 00:00,31/07/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.8,01/07/2013 00:00,31/07/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.3,27/03/2000 00:00,31/07/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.7,27/03/2000 00:00,31/07/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.3,01/07/2013 00:00,31/07/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.7,01/07/2013 00:00,31/07/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.3,26/03/1989 00:00,31/07/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.7,26/03/1989 00:00,31/07/2023 00:00
1050572 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Fixed,Fixed-term,Acad-Rel Administrative,Grade 6,F,1,09/05/2022 00:00,31/07/2023 00:00
1120539 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm - acting up,Acad-Rel Administrative,Grade 6,M,1,26/11/2018 00:00,31/07/2023 00:00
1090424 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm - acting up,Acad-Rel Administrative,Grade 7,F,1,20/08/2007 00:00,31/07/2023 00:00
1100527 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 6,F,1,08/01/2018 00:00,31/07/2023 00:00
1100528 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 6,F,1,08/01/2018 00:00,31/07/2023 00:00
1100547 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Perm on temp appt,Acad-Rel Administrative,Grade 7,F,1,22/07/2019 00:00,31/07/2023 00:00
1100576 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.3,16/01/2023 00:00,31/07/2023 00:00
1100576 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.7,16/01/2023 00:00,31/07/2023 00:00
1090871or,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Pro-Vice-Chancellor,F,1,01/01/2003 00:00,31/07/2023 00:00
1090129 B,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Director B,F,1,26/08/1996 00:00,31/07/2023 00:00
1120502 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,25/11/1996 00:00,31/07/2023 00:00
1080881 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,09/12/2002 00:00,31/07/2023 00:00
1080452 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,18/01/2010 00:00,31/07/2023 00:00
1100526 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,30/10/2017 00:00,31/07/2023 00:00
1100532 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,21/05/2018 00:00,31/07/2023 00:00
1110538 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,05/11/2018 00:00,31/07/2023 00:00
1010185 5,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,0.9,09/06/1997 00:00,31/07/2023 00:00
1100564 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,M,1,16/03/2021 00:00,31/07/2023 00:00
1120575 6,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 6,F,1,17/10/2022 00:00,31/07/2023 00:00
1120547 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,0.8,01/02/1996 00:00,31/07/2023 00:00
1100440 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/11/2008 00:00,31/07/2023 00:00
1080512 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,13/09/2016 00:00,31/07/2023 00:00
1100519 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,24/04/2017 00:00,31/07/2023 00:00
1110536 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/09/2018 00:00,31/07/2023 00:00
1110537 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,03/10/2018 00:00,31/07/2023 00:00
1120544 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,10/06/2019 00:00,31/07/2023 00:00
1100548 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,26/08/2019 00:00,31/07/2023 00:00
1100555 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,01/03/2020 00:00,31/07/2023 00:00
1120571 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/02/2022 00:00,31/07/2023 00:00
1120576 7,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,07/11/2022 00:00,31/07/2023 00:00
1010410 9,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,01/03/2006 00:00,31/07/2023 00:00
1130580 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Fixed,Fixed-term,Clerical,Grade 4,F,1,01/06/2023 00:00,31/07/2023 00:00
1120580 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,31/05/2023 00:00,31/07/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.2,01/07/1998 00:00,31/08/2023 00:00
1140547C4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,AC4,F,0.8,01/07/1998 00:00,31/08/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.4,01/08/2005 00:00,31/08/2023 00:00
1140403 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.6,01/08/2005 00:00,31/08/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.2,01/07/2013 00:00,31/08/2023 00:00
1140481 1,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 1,M,0.8,01/07/2013 00:00,31/08/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.3,27/03/2000 00:00,31/08/2023 00:00
1100643 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,F,0.7,27/03/2000 00:00,31/08/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.3,01/07/2013 00:00,31/08/2023 00:00
1100891 2,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,0.7,01/07/2013 00:00,31/08/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.3,26/03/1989 00:00,31/08/2023 00:00
1102618 4,"Arts, Humanities and Social Sciences",Faculty Office AHSS,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 4,F,0.7,26/03/1989 00:00,31/08/2023 00:00
